Requirement Description,Feature group,Priority,Status
The system shall generate a personalized monthly budget.,Budget Plan Generation,,
The plan shall allocate funds to categories.,Budget Plan Generation,,
The user shall be able to modify allocations.,Budget Plan Generation,,
The AI shall adapt future recommendations based on spending behavior.,Budget Plan Generation,,
The system shall notify users when budget thresholds are reached.,General Alerts,,
The system shall suggest savings transfers.,General Alerts,,
Users shall be able to enable/disable categories of alerts.,General Alerts,,
The system shall support full voice input and output.,Interface selection,,
The user can choose between using voice or touch commands,Onboarding,,
The app shall have a 'Tinder' style page for the user to choose between budgeting goals,Onboarding,,
The user can choose between Budgeting/Emergency Fund/ Financial Literacy goals,Onboarding,,
The system shall store selected motivation locally.,Onboarding,,
The app shall send budget reminder notifications at 'high risk' times,Time-based alerts,,
Users shall manually log purchases.,Transaction Logging,,
Users shall categorize purchases.,Transaction Logging,,
The system shall update budget balances in real time.,Transaction Logging,,
The AI shall respond conversationally.,Voice Interface,,
All AI processing shall occur locally.,Privacy & Security,,
No financial data shall be transmitted externally.,Privacy & Security,,
The system shall not require bank API connections.,Privacy & Security,,
The system shall not store credentials for financial institutions.,Privacy & Security,,
The system shall allow notification tone customization.,Cognitive Load Customisation,,
The system shall support summary-only mode.,Cognitive Load Customisation,,
The system shall minimize alert frequency in summary mode.,Cognitive Load Customisation,,
The AI shall detect high-risk times.,Impulse Intervention System,,
The system shall trigger intervention notifications.,Impulse Intervention System,,
